"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"12","FL","Florida","Florida","state",NA,"January",2020,"10424000","10114000","310000"
"12","FL","Florida","Alachua County","county","12001","January",2020,"141104","136947","4157"
"12","FL","Florida","Baker County","county","12003","January",2020,"11981","11597","384"
"12","FL","Florida","Bay County","county","12005","January",2020,"81787","78840","2947"
"12","FL","Florida","Bradford County","county","12007","January",2020,"11232","10870","362"
"12","FL","Florida","Brevard County","county","12009","January",2020,"286381","277148","9233"
"12","FL","Florida","Broward County","county","12011","January",2020,"1044194","1012687","31507"
"12","FL","Florida","Calhoun County","county","12013","January",2020,"4792","4607","185"
"12","FL","Florida","Charlotte County","county","12015","January",2020,"73176","70541","2635"
"12","FL","Florida","Citrus County","county","12017","January",2020,"47294","44963","2331"
"12","FL","Florida","Clay County","county","12019","January",2020,"108777","105444","3333"
"12","FL","Florida","Collier County","county","12021","January",2020,"184804","179273","5531"
"12","FL","Florida","Columbia County","county","12023","January",2020,"30163","29202","961"
"12","FL","Florida","DeSoto County","county","12027","January",2020,"15023","14503","520"
"12","FL","Florida","Dixie County","county","12029","January",2020,"5885","5653","232"
"12","FL","Florida","Duval County","county","12031","January",2020,"496515","480562","15953"
"12","FL","Florida","Escambia County","county","12033","January",2020,"146089","141184","4905"
"12","FL","Florida","Flagler County","county","12035","January",2020,"47182","45380","1802"
"12","FL","Florida","Franklin County","county","12037","January",2020,"4479","4341","138"
"12","FL","Florida","Gadsden County","county","12039","January",2020,"18874","18112","762"
"12","FL","Florida","Gilchrist County","county","12041","January",2020,"7232","6983","249"
"12","FL","Florida","Glades County","county","12043","January",2020,"5569","5361","208"
"12","FL","Florida","Gulf County","county","12045","January",2020,"5587","5356","231"
"12","FL","Florida","Hamilton County","county","12047","January",2020,"4208","4011","197"
"12","FL","Florida","Hardee County","county","12049","January",2020,"8992","8596","396"
"12","FL","Florida","Hendry County","county","12051","January",2020,"16087","15264","823"
"12","FL","Florida","Hernando County","county","12053","January",2020,"72560","69515","3045"
"12","FL","Florida","Highlands County","county","12055","January",2020,"36540","34884","1656"
"12","FL","Florida","Hillsborough County","county","12057","January",2020,"757966","734996","22970"
"12","FL","Florida","Holmes County","county","12059","January",2020,"6998","6733","265"
"12","FL","Florida","Indian River County","county","12061","January",2020,"66238","63779","2459"
"12","FL","Florida","Jackson County","county","12063","January",2020,"17117","16498","619"
"12","FL","Florida","Jefferson County","county","12065","January",2020,"5643","5458","185"
"12","FL","Florida","Lafayette County","county","12067","January",2020,"2885","2798","87"
