"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Maryland",24,"MD","Allegany",24001,2020-03-07,10,3,2020,30
"Maryland",24,"MD","Anne Arundel",24003,2020-03-07,10,3,2020,146
"Maryland",24,"MD","Baltimore City",24510,2020-03-07,10,3,2020,378
"Maryland",24,"MD","Baltimore County",24005,2020-03-07,10,3,2020,321
"Maryland",24,"MD","Calvert",24009,2020-03-07,10,3,2020,30
"Maryland",24,"MD","Caroline",24011,2020-03-07,10,3,2020,14
"Maryland",24,"MD","Carroll",24013,2020-03-07,10,3,2020,31
"Maryland",24,"MD","Cecil",24015,2020-03-07,10,3,2020,29
"Maryland",24,"MD","Charles",24017,2020-03-07,10,3,2020,50
"Maryland",24,"MD","Dorchester",24019,2020-03-07,10,3,2020,29
"Maryland",24,"MD","Frederick",24021,2020-03-07,10,3,2020,51
"Maryland",24,"MD","Garrett",24023,2020-03-07,10,3,2020,11
"Maryland",24,"MD","Harford",24025,2020-03-07,10,3,2020,89
"Maryland",24,"MD","Howard",24027,2020-03-07,10,3,2020,62
"Maryland",24,"MD","Kent",24029,2020-03-07,10,3,2020,4
"Maryland",24,"MD","Montgomery",24031,2020-03-07,10,3,2020,195
"Maryland",24,"MD","Prince George's",24033,2020-03-07,10,3,2020,257
"Maryland",24,"MD","Queen Anne's",24035,2020-03-07,10,3,2020,7
"Maryland",24,"MD","Somerset",24037,2020-03-07,10,3,2020,7
"Maryland",24,"MD","St. Mary's",24039,2020-03-07,10,3,2020,24
"Maryland",24,"MD","Talbot",24041,2020-03-07,10,3,2020,6
"Maryland",24,"MD","Washington",24043,2020-03-07,10,3,2020,42
"Maryland",24,"MD","Wicomico",24045,2020-03-07,10,3,2020,36
"Maryland",24,"MD","Worcester",24047,2020-03-07,10,3,2020,33
"Maryland",24,"MD","Non-Maryland",NA,2020-03-07,10,3,2020,208
"Maryland",24,"MD","Allegany",24001,2020-03-14,11,3,2020,62
"Maryland",24,"MD","Anne Arundel",24003,2020-03-14,11,3,2020,281
"Maryland",24,"MD","Baltimore City",24510,2020-03-14,11,3,2020,746
"Maryland",24,"MD","Baltimore County",24005,2020-03-14,11,3,2020,568
"Maryland",24,"MD","Calvert",24009,2020-03-14,11,3,2020,42
"Maryland",24,"MD","Caroline",24011,2020-03-14,11,3,2020,23
"Maryland",24,"MD","Carroll",24013,2020-03-14,11,3,2020,75
"Maryland",24,"MD","Cecil",24015,2020-03-14,11,3,2020,41
"Maryland",24,"MD","Charles",24017,2020-03-14,11,3,2020,116
"Maryland",24,"MD","Dorchester",24019,2020-03-14,11,3,2020,22
"Maryland",24,"MD","Frederick",24021,2020-03-14,11,3,2020,100
"Maryland",24,"MD","Garrett",24023,2020-03-14,11,3,2020,18
"Maryland",24,"MD","Harford",24025,2020-03-14,11,3,2020,122
"Maryland",24,"MD","Howard",24027,2020-03-14,11,3,2020,121
"Maryland",24,"MD","Kent",24029,2020-03-14,11,3,2020,5
"Maryland",24,"MD","Montgomery",24031,2020-03-14,11,3,2020,256
"Maryland",24,"MD","Prince George's",24033,2020-03-14,11,3,2020,518
"Maryland",24,"MD","Queen Anne's",24035,2020-03-14,11,3,2020,11
"Maryland",24,"MD","Somerset",24037,2020-03-14,11,3,2020,10
"Maryland",24,"MD","St. Mary's",24039,2020-03-14,11,3,2020,48
"Maryland",24,"MD","Talbot",24041,2020-03-14,11,3,2020,15
"Maryland",24,"MD","Washington",24043,2020-03-14,11,3,2020,95
"Maryland",24,"MD","Wicomico",24045,2020-03-14,11,3,2020,78
"Maryland",24,"MD","Worcester",24047,2020-03-14,11,3,2020,30
"Maryland",24,"MD","Non-Maryland",NA,2020-03-14,11,3,2020,449
"Maryland",24,"MD","Allegany",24001,2020-03-21,12,3,2020,848
"Maryland",24,"MD","Anne Arundel",24003,2020-03-21,12,3,2020,4517
"Maryland",24,"MD","Baltimore City",24510,2020-03-21,12,3,2020,5392
"Maryland",24,"MD","Baltimore County",24005,2020-03-21,12,3,2020,6763
"Maryland",24,"MD","Calvert",24009,2020-03-21,12,3,2020,620
"Maryland",24,"MD","Caroline",24011,2020-03-21,12,3,2020,225
"Maryland",24,"MD","Carroll",24013,2020-03-21,12,3,2020,1158
"Maryland",24,"MD","Cecil",24015,2020-03-21,12,3,2020,665
"Maryland",24,"MD","Charles",24017,2020-03-21,12,3,2020,938
"Maryland",24,"MD","Dorchester",24019,2020-03-21,12,3,2020,249
"Maryland",24,"MD","Frederick",24021,2020-03-21,12,3,2020,1729
"Maryland",24,"MD","Garrett",24023,2020-03-21,12,3,2020,286
"Maryland",24,"MD","Harford",24025,2020-03-21,12,3,2020,2038
"Maryland",24,"MD","Howard",24027,2020-03-21,12,3,2020,1587
"Maryland",24,"MD","Kent",24029,2020-03-21,12,3,2020,90
"Maryland",24,"MD","Montgomery",24031,2020-03-21,12,3,2020,3941
"Maryland",24,"MD","Prince George's",24033,2020-03-21,12,3,2020,3792
"Maryland",24,"MD","Queen Anne's",24035,2020-03-21,12,3,2020,455
"Maryland",24,"MD","Somerset",24037,2020-03-21,12,3,2020,128
"Maryland",24,"MD","St. Mary's",24039,2020-03-21,12,3,2020,547
"Maryland",24,"MD","Talbot",24041,2020-03-21,12,3,2020,456
"Maryland",24,"MD","Washington",24043,2020-03-21,12,3,2020,1238
