"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Idaho",16,"ID","Ada",16001,2020-01-04,1,1,2020,416
"Idaho",16,"ID","Adams",16003,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Bannock",16005,2020-01-04,1,1,2020,84
"Idaho",16,"ID","Bear Lake",16007,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Benewah",16009,2020-01-04,1,1,2020,13
"Idaho",16,"ID","Bingham",16011,2020-01-04,1,1,2020,27
"Idaho",16,"ID","Blaine",16013,2020-01-04,1,1,2020,25
"Idaho",16,"ID","Boise",16015,2020-01-04,1,1,2020,8
"Idaho",16,"ID","Bonner",16017,2020-01-04,1,1,2020,55
"Idaho",16,"ID","Bonneville",16019,2020-01-04,1,1,2020,94
"Idaho",16,"ID","Boundary",16021,2020-01-04,1,1,2020,25
"Idaho",16,"ID","Butte",16023,2020-01-04,1,1,2020,7
"Idaho",16,"ID","Camas",16025,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Canyon",16027,2020-01-04,1,1,2020,122
"Idaho",16,"ID","Caribou",16029,2020-01-04,1,1,2020,23
"Idaho",16,"ID","Cassia",16031,2020-01-04,1,1,2020,19
"Idaho",16,"ID","Clearwater",16035,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Custer",16037,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Elmore",16039,2020-01-04,1,1,2020,10
"Idaho",16,"ID","Franklin",16041,2020-01-04,1,1,2020,8
"Idaho",16,"ID","Fremont",16043,2020-01-04,1,1,2020,15
"Idaho",16,"ID","Gem",16045,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Gooding",16047,2020-01-04,1,1,2020,7
"Idaho",16,"ID","Idaho",16049,2020-01-04,1,1,2020,13
"Idaho",16,"ID","Jefferson",16051,2020-01-04,1,1,2020,12
"Idaho",16,"ID","Jerome",16053,2020-01-04,1,1,2020,26
"Idaho",16,"ID","Kootenai",16055,2020-01-04,1,1,2020,217
"Idaho",16,"ID","Latah",16057,2020-01-04,1,1,2020,26
"Idaho",16,"ID","Lemhi",16059,2020-01-04,1,1,2020,11
"Idaho",16,"ID","Lewis",16061,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Lincoln",16063,2020-01-04,1,1,2020,6
